"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Al Mamun M.; Wahab Y.A.; Hossain M.A.M.; Hashem A.; Johan M.R.","Al Mamun, Mohammad (59662837100); Wahab, Yasmin Abdul (57203353903); Hossain, M.A. Motalib (57226629032); Hashem, Abu (57190141083); Johan, Mohd Rafie (8727448400)","59662837100; 57203353903; 57226629032; 57190141083; 8727448400","Electrochemical biosensors with Aptamer recognition layer for the diagnosis of pathogenic bacteria: Barriers to commercialization and remediation","2021","TrAC - Trends in Analytical Chemistry","145","","116458","","","","60","10.1016/j.trac.2021.116458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118339470&doi=10.1016%2fj.trac.2021.116458&partnerID=40&md5=b4afffb661ea162fdf46682bc7c563b2","Review","Final","","Scopus","2-s2.0-85118339470"
"Christy A.J.; Sagadevan S.; Wahab Y.A.; Nehru L.C.; Hussin H.; Alias N.E.; Maulat Osman R.A.","Christy, A. Jegatha (56783157400); Sagadevan, Suresh (57793664300); Wahab, Yasmin Abdul (57203353903); Nehru, L.C. (6506997303); Hussin, Hanim (24776411200); Alias, Nurul Ezaila (35118613500); Maulat Osman, Rozana Aina (57261588300)","56783157400; 57793664300; 57203353903; 6506997303; 24776411200; 35118613500; 57261588300","Evaluation of Physicochemical Characteristics and Antimicrobial Activities of Copper Oxide Nanoparticles Formed by the Solution Combustion Method","2021","Proceedings - 2021 IEEE Regional Symposium on Micro and Nanoelectronics, RSM 2021","","","","16","19","3","0","10.1109/RSM52397.2021.9511585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115115610&doi=10.1109%2fRSM52397.2021.9511585&partnerID=40&md5=81b7fae1f9f8f287c8395142eee6519d","Conference paper","Final","","Scopus","2-s2.0-85115115610"
"Arafat M.Y.; Wan Muhammad Hatta S.F.; Islam M.A.; Johan M.R.; Abdul Wahab Y.","Arafat, Md. Yasir (57226548627); Wan Muhammad Hatta, Sharifah Fatmadiana (57219556611); Islam, Mohammad Aminul (57220973693); Johan, Mohd Rafie (8727448400); Abdul Wahab, Yasmin (57203353903)","57226548627; 57219556611; 57220973693; 8727448400; 57203353903","Unveiling the Impact of Electron Transport Layer and Hole Transport Layer Variations on Cs-Based Perovskite Solar Cells: A Combined Electrical and Optical Simulation Approach","2025","ChemNanoMat","11","6","e202500032","","","","1","10.1002/cnma.202500032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006464581&doi=10.1002%2fcnma.202500032&partnerID=40&md5=ba896913ae7af81b4ba1ae03b2579275","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105006464581"
"Sallehuddin N.M.; Muhamad M.; Hussin H.; Halim A.K.; Wahab Y.A.","Sallehuddin, Nur Mahirah (57222155545); Muhamad, Maizan (36104384600); Hussin, Hanim (24776411200); Halim, Abdul Karimi (24824609100); Wahab, Yasmin Abdul (57203353903)","57222155545; 36104384600; 24776411200; 24824609100; 57203353903","Trade-offs and Optimization: Low Power Approaches for Area, Power Consumption, and Performance in Microprocessor Design","2023","Proceedings - 2023 IEEE Regional Symposium on Micro and Nanoelectronics, RSM 2023","","","","102","105","3","1","10.1109/RSM59033.2023.10327338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179853865&doi=10.1109%2fRSM59033.2023.10327338&partnerID=40&md5=21580c5211a5cf3e15cc27e8d6aa5c66","Conference paper","Final","","Scopus","2-s2.0-85179853865"
"Nguan Kong T.S.; Alias N.E.; Hamzah A.; Kamisian I.; Peng Tan M.L.; Sheikh U.U.; Wahab Y.A.","Nguan Kong, T.S. (57261915500); Alias, N. Ezaila (35118613500); Hamzah, Afiq (55565983100); Kamisian, Izam (24448093700); Peng Tan, M.L. (57219269266); Sheikh, U. Ullah (34267792700); Wahab, Yasmin Abdul (57203353903)","57261915500; 35118613500; 55565983100; 24448093700; 57219269266; 34267792700; 57203353903","An Efficient March (5n) FSM-Based Memory Built-In Self Test (MBIST) Architecture","2021","Proceedings - 2021 IEEE Regional Symposium on Micro and Nanoelectronics, RSM 2021","","","","76","79","3","17","10.1109/RSM52397.2021.9511602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115112588&doi=10.1109%2fRSM52397.2021.9511602&partnerID=40&md5=2d0dce5b5081bf980b4e74a353449d1a","Conference paper","Final","","Scopus","2-s2.0-85115112588"
"Rehman S.U.; Zaidi A.A.; Wahab Y.A.; Arafat M.Y.; Muhamad Hatta S.F.W.","Rehman, Sadiq Ur (55745443700); Zaidi, Asad A. (57208091318); Wahab, Yasmin Abdul (57203353903); Arafat, Md. Yasir (57226548627); Muhamad Hatta, Sharifah Fatmadiana Wan (57170711600)","55745443700; 57208091318; 57203353903; 57226548627; 57170711600","Advanced Solar-Powered Seed Sowing Machine with Precision Seeding and Smart Control Features","2023","Proceedings - 2023 IEEE Regional Symposium on Micro and Nanoelectronics, RSM 2023","","","","134","137","3","0","10.1109/RSM59033.2023.10326842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179839566&doi=10.1109%2fRSM59033.2023.10326842&partnerID=40&md5=cfb8a2a5308a95cb8fd3b03fc60b06b3","Conference paper","Final","","Scopus","2-s2.0-85179839566"
"Ahmed S.M.; Soin N.; Wan S.F.; Hatta M.; Wahab Y.A.","Ahmed, Syed Muzamil (57192429578); Soin, Norhayati (13008659000); Wan, Sharifah Fatmadiana (57885562700); Hatta, Muhamad (57885790000); Wahab, Yasmin Abdul (57203353903)","57192429578; 13008659000; 57885562700; 57885790000; 57203353903","Ultra-Sensitive Flexible Piezoresistive Strain Sensor Simulation using Carbon Nanotube Composite","2022","IEEE International Conference on Semiconductor Electronics, Proceedings, ICSE","2022-August","","","25","28","3","0","10.1109/ICSE56004.2022.9863108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137820351&doi=10.1109%2fICSE56004.2022.9863108&partnerID=40&md5=3479598231fc0fe42bd2f5a986c60529","Conference paper","Final","","Scopus","2-s2.0-85137820351"
"Marlinda A.R.; Yusoff N.; Pandikumar A.; Huang N.M.; Akbarzadeh O.; Sagadevan S.; Wahab Y.A.; Johan M.R.","Marlinda, A.R. (55233671600); Yusoff, N. (6603277560); Pandikumar, A. (36519334800); Huang, N.M. (56529794500); Akbarzadeh, Omid (55984413100); Sagadevan, Suresh (57793664300); Wahab, Y.A. (57203353903); Johan, M.R. (8727448400)","55233671600; 6603277560; 36519334800; 56529794500; 55984413100; 57793664300; 57203353903; 8727448400","Tailoring morphological characteristics of zinc oxide using a one-step hydrothermal method for photoelectrochemical water splitting application","2019","International Journal of Hydrogen Energy","44","33","","17535","17543","8","43","10.1016/j.ijhydene.2019.05.109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066798947&doi=10.1016%2fj.ijhydene.2019.05.109&partnerID=40&md5=36e269dcca08d0aba4702a0ff348eb35","Article","Final","","Scopus","2-s2.0-85066798947"
"Akbarzadeh O.; Mohd Zabidi N.A.; Abdul Wahab Y.; Hamizi N.A.; Chowdhury Z.Z.; Merican Aljunid Merican Z.; Rahman M.A.; Akhter S.; Shalauddin M.; Johan M.R.","Akbarzadeh, Omid (55984413100); Mohd Zabidi, Noor Asmawati (6507905621); Abdul Wahab, Yasmin (57203353903); Hamizi, Nor Aliya (36241689500); Chowdhury, Zaira Zaman (36975026400); Merican Aljunid Merican, Zulkifli (57211040570); Rahman, Marlinda Ab (55233671600); Akhter, Shamima (57212744179); Shalauddin, Md (57196002032); Johan, Mohd Rafie (8727448400)","55984413100; 6507905621; 57203353903; 36241689500; 36975026400; 57211040570; 55233671600; 57212744179; 57196002032; 8727448400","Effects of cobalt loading, particle size, and calcination condition on Co/CNT catalyst performance in Fischer-Tropsch reactions","2019","Symmetry","11","1","7","","","","28","10.3390/sym11010007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061078201&doi=10.3390%2fsym11010007&partnerID=40&md5=7c148a906cddcd7fc791f6754d5e9c09","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85061078201"
"Rahman S.; Hatta S.F.W.M.; Soin N.; Wahab Y.A.","Rahman, Sharidya (58643451800); Hatta, Sharifah Fatmadiana Wan Muhammad (22634464300); Soin, Norhayati (13008659000); Wahab, Yasmin Abdul (57203353903)","58643451800; 22634464300; 13008659000; 57203353903","Small signal microwave characteristics and optimization of δ-doped layer positioning in submicron InGaAs HEMT","2019","Proceedings of the International Symposium on the Physical and Failure Analysis of Integrated Circuits, IPFA","","","8984812","","","","0","10.1109/IPFA47161.2019.8984812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082567433&doi=10.1109%2fIPFA47161.2019.8984812&partnerID=40&md5=b52b8712d5aedce6ceb761e27a352cac","Conference paper","Final","","Scopus","2-s2.0-85082567433"
"Hamizi N.A.; Johan M.R.; Chowdhury Z.Z.; Wahab Y.A.; Al-Douri Y.; Saat A.M.; Pivehzhani O.A.","Hamizi, Nor Aliya (36241689500); Johan, Mohd Rafie (8727448400); Chowdhury, Zaira Zaman (36975026400); Wahab, Yasmin Abdul (57203353903); Al-Douri, Yarub (6701757524); Saat, Asmalina Mohamed (57204348124); Pivehzhani, Omid Akbarzadeh (55984413100)","36241689500; 8727448400; 36975026400; 57203353903; 6701757524; 57204348124; 55984413100","Optical structure modification induced by lattice strain in Mn-doped CdSe QDs","2018","Optical Materials","86","","","441","448","7","7","10.1016/j.optmat.2018.10.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055415346&doi=10.1016%2fj.optmat.2018.10.041&partnerID=40&md5=a2132ccc9682b0f573a2ae1c5ffa48c0","Article","Final","","Scopus","2-s2.0-85055415346"
"Hussin H.; Soin N.; Wan Muhamad Hatta S.F.; Md Rezali F.A.; Abdul Wahab Y.","Hussin, Hanim (24776411200); Soin, Norhayati (13008659000); Wan Muhamad Hatta, Sharifah Fatmadiana (35184383500); Md Rezali, Fazliyatul Azwa (57188846130); Abdul Wahab, Yasmin (57203353903)","24776411200; 13008659000; 35184383500; 57188846130; 57203353903","Review - Recent Progress in the Diversity of Inkjet-Printed Flexible Sensor Structures in Biomedical Engineering Applications","2021","Journal of the Electrochemical Society","168","7","077508","","","","31","10.1149/1945-7111/ac0e4b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111749411&doi=10.1149%2f1945-7111%2fac0e4b&partnerID=40&md5=0a26eebf288c9f387b2611b3a0e78cc0","Article","Final","","Scopus","2-s2.0-85111749411"
"Mamun M.A.; Wahab Y.A.; Hossain M.A.M.; Hashem A.; Hamizi N.A.; Chowdhury Z.Z.; Muhamad Hattad S.F.W.; Badruddin I.A.; Kamangar S.; Johan M.R.","Mamun, Mohammad Al (60016562100); Wahab, Yasmin Abdul (57203353903); Hossain, M. A. Motalib (57226629032); Hashem, Abu (57190141083); Hamizi, Nor Aliya (36241689500); Chowdhury, Zaira Zaman (36975026400); Muhamad Hattad, Sharifah Fatmadiana Wan (58522282400); Badruddin, Irfan Anjum (12544753000); Kamangar, Sarfaraz (54785996300); Johan, Mohd Rafie (8727448400)","60016562100; 57203353903; 57226629032; 57190141083; 36241689500; 36975026400; 58522282400; 12544753000; 54785996300; 8727448400","Differential Pulse Voltammetric Tuning of the Screen-Printed Carbon Electrode Surface to Enhance the Electrochemical Performance and Multiplex Detection","2023","Journal of the Electrochemical Society","170","7","076510","","","","1","10.1149/1945-7111/ace7f8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166617710&doi=10.1149%2f1945-7111%2face7f8&partnerID=40&md5=005300be7833a603cdd50244db4d42c6","Article","Final","","Scopus","2-s2.0-85166617710"
"Al Mamun M.; Wahab Y.A.; Hossain M.A.M.; Nam H.Y.; Johan M.R.; Alias N.E.; Hussin H.; Muhamad M.","Al Mamun, Mohammad (59662837100); Wahab, Yasmin Abdul (57203353903); Hossain, M. A. Motalib (57226629032); Nam, Hui Yin (59368725800); Johan, Mohd Rafie (8727448400); Alias, Nurul Ezaila (35118613500); Hussin, Hanim (24776411200); Muhamad, Maizan (36104384600)","59662837100; 57203353903; 57226629032; 59368725800; 8727448400; 35118613500; 24776411200; 36104384600","Comparative Electrochemical Performance of Screen Printed Carbon, Gold and Graphene Electrodes","2024","IEEE International Conference on Semiconductor Electronics, Proceedings, ICSE","","","","136","139","3","3","10.1109/ICSE62991.2024.10681375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206491403&doi=10.1109%2fICSE62991.2024.10681375&partnerID=40&md5=17291a4d96b706514f0a0c18e4637915","Conference paper","Final","","Scopus","2-s2.0-85206491403"
"Sam C.C.; Osman R.A.M.; Idris M.S.; Wahab Y.A.","Sam, Chow Chun (57226374906); Osman, Rozana Aina Maulat (37261764900); Idris, Mohd Sobri (55898869500); Wahab, Yasmin Abdul (57203353903)","57226374906; 37261764900; 55898869500; 57203353903","The structural analysis of calcium doped BaTiO3","2021","AIP Conference Proceedings","2347","","020002","","","","0","10.1063/5.0051866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111355700&doi=10.1063%2f5.0051866&partnerID=40&md5=ab21967ae8b12600bec1347a82a9a71c","Conference paper","Final","","Scopus","2-s2.0-85111355700"
"Al-Douri Y.; Odeh A.A.; Wahab Y.A.; Voon C.H.","Al-Douri, Y. (6701757524); Odeh, Ali Abu (57190049238); Wahab, Yasmin Abdul (57203353903); Voon, C.H. (55334719400)","6701757524; 57190049238; 57203353903; 55334719400","Correlation Between Magnetization and Particle Size of CdS Nanostructures by Solvothermal Method","2019","Journal of Superconductivity and Novel Magnetism","32","2","","283","289","6","11","10.1007/s10948-018-4947-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058289175&doi=10.1007%2fs10948-018-4947-6&partnerID=40&md5=9a5c9da33dea8c58d56fd05e4af04a8c","Article","Final","","Scopus","2-s2.0-85058289175"
"Chowdhury Z.Z.; Krishnan B.; Sagadevan S.; Rafique R.F.; Hamizi N.A.B.; Wahab Y.A.; Khan A.A.; Bin Johan R.; Al-Douri Y.; Kazi S.N.; Shah S.T.","Chowdhury, Zaira Zaman (36975026400); Krishnan, Bagavathi (57203353945); Sagadevan, Suresh (57793664300); Rafique, Rahman Faizur (55334765500); Hamizi, Nor Aliya Binti (36241689500); Wahab, Yasmin Abdul (57203353903); Khan, Ali Akbar (57203359973); Bin Johan, Rafie (57203356090); Al-Douri, Y. (6701757524); Kazi, Salim Newaz (7003406290); Shah, Syed Tawab (57193892407)","36975026400; 57203353945; 57793664300; 55334765500; 36241689500; 57203353903; 57203359973; 57203356090; 6701757524; 7003406290; 57193892407","Effect of temperature on the physical, electro-chemical and adsorption properties of carbon micro-spheres using hydrothermal carbonization process","2018","Nanomaterials","8","8","597","","","","46","10.3390/nano8080597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051370426&doi=10.3390%2fnano8080597&partnerID=40&md5=6804f8aaf166063c4ac9db53ddb88ba8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85051370426"
"Islam M.A.; Nur-E-Alam M.; Hatta S.F.W.M.; Mohafez H.; Misran H.; Wahab Y.A.; Chowdhury Z.Z.; Soin N.B.","Islam, Mohammad Aminul (57220973693); Nur-E-Alam, Mohammad (57197752581); Hatta, S. F. W. Muhamad (22634464300); Mohafez, Hamidreza (57189693027); Misran, Halina (6506899840); Wahab, Yasmin Abdul (57203353903); Chowdhury, Zaira Zaman (36975026400); Soin, Norhayati Binti (13008659000)","57220973693; 57197752581; 22634464300; 57189693027; 6506899840; 57203353903; 36975026400; 13008659000","Ultra-thin CdTe film properties enhancement via eco-friendly MgCl2-assisted thermal treatment","2024","Journal of Optics (India)","53","5","","4690","4697","7","5","10.1007/s12596-023-01621-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185960987&doi=10.1007%2fs12596-023-01621-z&partnerID=40&md5=00d2adbf9514fdbafb206e134cd584e2","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185960987"
"Mamun M.A.; Wahab Y.A.; Motalib Hossain M.A.; Hashem A.; Khan K.A.; Johan M.R.; Hussin H.; Alias N.E.","Mamun, Mohammad Al (60016562100); Wahab, Yasmin Abdul (57203353903); Motalib Hossain, M.A. (57226629032); Hashem, Abu (57190141083); Khan, Kamrul Alam (57193013669); Johan, Mohd Rafie (8727448400); Hussin, Hanim (24776411200); Alias, Nurul Ezaila (35118613500)","60016562100; 57203353903; 57226629032; 57190141083; 57193013669; 8727448400; 24776411200; 35118613500","Electrochemistry of Green Ag Nanoparticles Modified Electrode Surface","2022","IEEE International Conference on Semiconductor Electronics, Proceedings, ICSE","2022-August","","","37","40","3","2","10.1109/ICSE56004.2022.9863176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137815040&doi=10.1109%2fICSE56004.2022.9863176&partnerID=40&md5=1d32b165a57eb9d7c7fa2199cc69e57f","Conference paper","Final","","Scopus","2-s2.0-85137815040"
"Pivehzhani O.A.; Kordijazi A.; Sagadevan S.; Moosavi S.; Babadi A.A.; Wahab Y.A.; Hamizi N.A.; Chowdhury Z.Z.","Pivehzhani, Omid Akbarzadeh (55984413100); Kordijazi, Amir (56491317200); Sagadevan, Suresh (57793664300); Moosavi, Seyedehmaryam (55813729000); Babadi, Arman Amani (55867055000); Wahab, Yasmin Abdul (57203353903); Hamizi, Nor Aliya (36241689500); Chowdhury, Zaira Zaman (36975026400)","55984413100; 56491317200; 57793664300; 55813729000; 55867055000; 57203353903; 36241689500; 36975026400","Syngas to Green Fuel Conversion: Nanocatalysis Approach","2020","ACS Symposium Series","1359","","","545","579","34","1","10.1021/bk-2020-1359.ch018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097330575&doi=10.1021%2fbk-2020-1359.ch018&partnerID=40&md5=760431297d4e1d0a1209ab1d0dbf6d80","Book chapter","Final","","Scopus","2-s2.0-85097330575"
"Al-Douri Y.; Wahab Y.A.; Hamizi N.A.","Al-Douri, Y. (6701757524); Wahab, Yasmin Abdul (57203353903); Hamizi, Nor Aliya (36241689500)","6701757524; 57203353903; 36241689500","Physical studies of metal oxide powders","2020","Metal Oxide Powder Technologies: Fundamentals, Processing Methods and Applications","","","","1","15","14","5","10.1016/B978-0-12-817505-7.00001-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142568056&doi=10.1016%2fB978-0-12-817505-7.00001-4&partnerID=40&md5=cee0b55f7b4d34b15e561a17a15d2c04","Book chapter","Final","","Scopus","2-s2.0-85142568056"
"Hamizi N.A.; Johan M.R.; Chowdhury Z.Z.; Wahab Y.A.; Al-Douri Y.; Saat A.M.; Pivehzhani O.A.","Hamizi, Nor Aliya (36241689500); Johan, Mohd Rafie (8727448400); Chowdhury, Zaira Zaman (36975026400); Wahab, Yasmin Abdul (57203353903); Al-Douri, Yarub (6701757524); Saat, Asmalina Mohamed (57204348124); Pivehzhani, Omid Akbarzadeh (55984413100)","36241689500; 8727448400; 36975026400; 57203353903; 6701757524; 57204348124; 55984413100","Raman spectroscopy and FTIR spectroscopy studies of Mn-doped CdSe QDs at different particles size","2019","Optik","179","","","628","631","3","14","10.1016/j.ijleo.2018.10.214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056453544&doi=10.1016%2fj.ijleo.2018.10.214&partnerID=40&md5=b91c2098c78f9be520090d6a04b2dd14","Article","Final","","Scopus","2-s2.0-85056453544"
"Naseer M.N.; Zaidi A.A.; Khan H.; Kumar S.; Owais M.T.B.; Wahab Y.A.; Dutta K.; Jaafar J.; Hamizi N.A.; Islam M.A.; Hussin H.; Badruddin I.A.; Alrobei H.","Naseer, Muhammad Nihal (57211979351); Zaidi, Asad A. (57208091318); Khan, Hamdullah (57226029980); Kumar, Sagar (57226008458); Owais, Muhammad Taha Bin (59270837000); Wahab, Yasmin Abdul (57203353903); Dutta, Kingshuk (7005115695); Jaafar, Juhana (50261750000); Hamizi, Nor Aliya (36241689500); Islam, Mohammad Aminul (57220973693); Hussin, Hanim (24776411200); Badruddin, Irfan Anjum (12544753000); Alrobei, Hussein (57200047367)","57211979351; 57208091318; 57226029980; 57226008458; 59270837000; 57203353903; 7005115695; 50261750000; 36241689500; 57220973693; 24776411200; 12544753000; 57200047367","Statistical modeling and performance optimization of a two-chamber microbial fuel cell by response surface methodology","2021","Catalysts","11","10","1202","","","","12","10.3390/catal11101202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116090535&doi=10.3390%2fcatal11101202&partnerID=40&md5=b68c99604e9858f74cd62c76fd1e9ab4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85116090535"
"Mamun M.A.; Abdul Wahab Y.; Motalib Hossain M.A.; Hashem A.; Johan M.R.; Ezaila Alias N.; Hussin H.; Muhamad M.","Mamun, Mohammad Al (60016562100); Abdul Wahab, Yasmin (57203353903); Motalib Hossain, M.A. (57226629032); Hashem, Abu (57190141083); Johan, Mohd Rafie (8727448400); Ezaila Alias, Nurul (57202362223); Hussin, Hanim (24776411200); Muhamad, Maizan (36104384600)","60016562100; 57203353903; 57226629032; 57190141083; 8727448400; 57202362223; 24776411200; 36104384600","Determination of the Aptamer Probe Density by Double Layer and Redox Capacitance of CNT-Based Electrochemical DNA-Aptasensors","2023","Proceedings - 2023 IEEE Regional Symposium on Micro and Nanoelectronics, RSM 2023","","","","74","77","3","1","10.1109/RSM59033.2023.10327172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179843421&doi=10.1109%2fRSM59033.2023.10327172&partnerID=40&md5=2114e90b773c4a1697aff6508f438b7a","Conference paper","Final","","Scopus","2-s2.0-85179843421"
"Chandran M.; Fadila Mahrom N.; Sabapathy T.; Jusoh M.; Nasrun Osman M.; Najib Yasin M.; Hambali N.A.M.; Jamaluddin R.; Ali N.; Abdul Wahab Y.","Chandran, Mehala (57213519770); Fadila Mahrom, Nur (57213520460); Sabapathy, Thennarasan (35424377200); Jusoh, Muzammil (24483755700); Nasrun Osman, Mohd (57189062688); Najib Yasin, Mohd (57213519348); Hambali, N.A.M. (27567626900); Jamaluddin, R. (57214102083); Ali, N. (58768841500); Abdul Wahab, Yasmin (57203353903)","57213519770; 57213520460; 35424377200; 24483755700; 57189062688; 57213519348; 27567626900; 57214102083; 58768841500; 57203353903","An IoT Based Smart Parking System","2019","Journal of Physics: Conference Series","1339","1","012044","","","","24","10.1088/1742-6596/1339/1/012044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077811784&doi=10.1088%2f1742-6596%2f1339%2f1%2f012044&partnerID=40&md5=b0e8e277fd7e23818869100d40eb0ecf","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85077811784"
"Hussin H.; Soin N.; Bukhori M.F.; Wan Muhamad Hatta S.; Abdul Wahab Y.","Hussin, H. (24776411200); Soin, N. (13008659000); Bukhori, M.F. (23007725800); Wan Muhamad Hatta, S. (35184383500); Abdul Wahab, Y. (57203353903)","24776411200; 13008659000; 23007725800; 35184383500; 57203353903","Effects of gate stack structural and process defectivity on high- k dielectric dependence of nbti reliability in 32 nm technology node PMOSFETs","2014","Scientific World Journal","2014","","490829","","","","6","10.1155/2014/490829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907247108&doi=10.1155%2f2014%2f490829&partnerID=40&md5=f77250ab883240279ac9237ca0978fb4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84907247108"
"Shahabuddin S.; Soin N.; Goh K.K.; Abdul Wahab Y.; Hussin H.","Shahabuddin, S. (57200288308); Soin, N. (13008659000); Goh, K.K. (55602647400); Abdul Wahab, Y. (57203353903); Hussin, H. (24776411200)","57200288308; 13008659000; 55602647400; 57203353903; 24776411200","Voltage dependences of parameter drifts in hot carrier degradation for n-channel LDMOS transistors","2013","Microelectronic Engineering","109","","","101","104","3","8","10.1016/j.mee.2013.03.051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876751785&doi=10.1016%2fj.mee.2013.03.051&partnerID=40&md5=e1b44b92e68769f8ccad9de8644a7543","Article","Final","","Scopus","2-s2.0-84876751785"
"Wahab Y.A.; Ahmad A.F.; Awang Z.","Wahab, Yasmin Abdul (57203353903); Ahmad, Anuar Fadzil (22633668000); Awang, Zaiki (22633732400)","57203353903; 22633668000; 22633732400","Comparison of missing metal defect formation on He in-situ and furnace annealed electroplated copper films","2006","SCOReD 2006 - Proceedings of 2006 4th Student Conference on Research and Development ""Towards Enhancing Research Excellence in the Region""","","","4339307","53","57","4","2","10.1109/SCORED.2006.4339307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849111800&doi=10.1109%2fSCORED.2006.4339307&partnerID=40&md5=9ae7d92d832a8e5bd56d16697929d0e0","Conference paper","Final","","Scopus","2-s2.0-46849111800"
"Abdul Wahab Y.; Ahmad A.F.; Hussin H.; Soin N.","Abdul Wahab, Y. (57203353903); Ahmad, A.F. (22633668000); Hussin, H. (24776411200); Soin, N. (13008659000)","57203353903; 22633668000; 24776411200; 13008659000","Reduction of annealed-induced wafer defects in dual-damascene copper interconnects","2012","Microelectronics Reliability","52","9-10","","1975","1980","5","7","10.1016/j.microrel.2012.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866736037&doi=10.1016%2fj.microrel.2012.07.008&partnerID=40&md5=df23c87ff96874d44e22384c15dde7f6","Article","Final","","Scopus","2-s2.0-84866736037"
"Wahab Y.A.; Ahmad A.F.; Awang Z.","Wahab, Yasmin Abdul (57203353903); Ahmad, Anuar Fadzil (22633668000); Awang, Zaiki (22633732400)","57203353903; 22633668000; 22633732400","Queue time impact on defectivity at post copper barrier seed, electrochemical plating, anneals and chemical mechanical polishing","2006","IEEE International Conference on Semiconductor Electronics, Proceedings, ICSE","","","4266760","938","943","5","3","10.1109/SMELEC.2006.380777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35148816626&doi=10.1109%2fSMELEC.2006.380777&partnerID=40&md5=9dda5faf170d69cf431eaa44d4403fdc","Conference paper","Final","","Scopus","2-s2.0-35148816626"
"Hussin H.; Soin N.; Bukhori M.F.; Abdul Wahab Y.; Shahabuddin S.","Hussin, H. (24776411200); Soin, N. (13008659000); Bukhori, M.F. (23007725800); Abdul Wahab, Y. (57203353903); Shahabuddin, S. (57200288308)","24776411200; 13008659000; 23007725800; 57203353903; 57200288308","New simulation method to characterize the recoverable component of dynamic negative-bias temperature instability in p-channel metal-oxide-semiconductor field-effect transistors","2014","Journal of Electronic Materials","43","4","","1207","1213","6","6","10.1007/s11664-014-2978-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899085712&doi=10.1007%2fs11664-014-2978-8&partnerID=40&md5=4d69a5a53b0423cc15e7931b5e6e9bea","Article","Final","","Scopus","2-s2.0-84899085712"
"Hussin H.; Muhamad M.; Abdul Wahab Y.; Shahabuddin S.; Soin N.; Bukhori M.F.","Hussin, H. (24776411200); Muhamad, M. (36104384600); Abdul Wahab, Y. (57203353903); Shahabuddin, S. (57200288308); Soin, N. (13008659000); Bukhori, M.F. (23007725800)","24776411200; 36104384600; 57203353903; 57200288308; 13008659000; 23007725800","A study using two stage NBTI model for 32 nm high-k PMOSFET","2013","2013 IEEE International Conference of Electron Devices and Solid-State Circuits, EDSSC 2013","","","6628108","","","","2","10.1109/EDSSC.2013.6628108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890487616&doi=10.1109%2fEDSSC.2013.6628108&partnerID=40&md5=8c07bc84e7cd1e8fe4be90ee9142c777","Conference paper","Final","","Scopus","2-s2.0-84890487616"
